State,County,Organization Name,Plan Name,Contract ID,Plan ID,Segment ID,Organization Type,Plan Type,Special Needs Plan,Special Needs Plan Type,Benefit Type,Part D Basic Premium Below Regional Benchmark?,National PDP,Part C Premium2,Part D Total Premium5,Tiers Not Subject to Deductible7,Increased Initial Coverage Limit8,Extra Coverage in Gap,Unnamed: 26,Total Premium,temp
Alabama,Autauga,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Autauga,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Autauga,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),H0150,24,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,Y,,0.0,True
Alabama,Autauga,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Autauga,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Autauga,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H2802,41,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Autauga,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H2802,42,0,Local CCP,HMO,No,,Enhanced Alternative,,,20.9,23.1,,,,,44.0,False
Alabama,Autauga,Humana Insurance Company,HumanaChoice H5216-095 (PPO),H5216,95,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,24.5,22.5,1.0,,,,47.0,False
Alabama,Autauga,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),H8145,75,0,PFFS,PFFS,No,,Basic Alternative,,,63.2,31.8,1.0,,,,95.0,False
Alabama,Autauga,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Baldwin,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,14,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Baldwin,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Baldwin,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),H0150,24,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,Y,,0.0,True
Alabama,Baldwin,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Baldwin,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Baldwin,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H2802,41,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Baldwin,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H2802,42,0,Local CCP,HMO,No,,Enhanced Alternative,,,20.9,23.1,,,,,44.0,False
Alabama,Baldwin,"Humana Benefit Plan of Illinois, Inc.",HumanaChoice H5525-020 (PPO),H5525,20,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,33.2,32.8,1.0,,,,66.0,False
Alabama,Baldwin,"Arcadian Health Plan, Inc.",Humana Gold Plus H5619-089 (HMO),H5619,89,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Baldwin,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),H8145,75,0,PFFS,PFFS,No,,Basic Alternative,,,63.2,31.8,1.0,,,,95.0,False
Alabama,Baldwin,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Barbour,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Barbour,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Barbour,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H0432,3,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Barbour,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H0432,4,0,Local CCP,HMO,No,,Enhanced Alternative,,,19.4,27.6,,,,,47.0,False
Alabama,Barbour,Humana Insurance Company,HumanaChoice H5216-096 (PPO),H5216,96,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,29.5,15.5,1.0,,,,45.0,False
Alabama,Barbour,Aetna Medicare,Aetna Medicare Essential Plan (PPO),H5521,91,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,Y,,0.0,True
Alabama,Barbour,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Bibb,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,14,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Bibb,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
